legbain..e.1	læggia_ben..nn.1
legman..e.1	lekman..nn.1
lekatter..e.1	lækatter..nn.1
leukuna..e.1	leghokona..nn.1
leþungs_mali..e.1	leþungslami..nn.1
likomi..e.1	likami..nn.1
likt..e.1	lykt..nn.1
limna..e.1	lifna..vb.1
lispund..e.1	lifspund..nn.1
lit..e.1	lata..vb.1
liauta..e.1	liuta..vb.1
liuari..e.1	liughari..nn.1
liud..e.1	liuþ..nn.1
liusa..e.1	lysa..vb.1
lofi..e.1	lovi..nn.1
loster..e.1	luster..nn.1
lot..e.1	lata..vb.1
loyfa..e.1	leva..vb.1
loysa..e.1	lösa..vb.1
ludha..e.1	lyþa..vb.1
lufvitni..e.1	lofs_vitni..nn.1
lughin..e.1	liugha..vb.1
lusna..e.1	losna..vb.1
lutin..e.1	liuta..vb.1
luþna..e.1	lyþna..nn.1
lybiskuper..e.1	lyþbiskuper..nn.1
lydna..e.1	lyþna..nn.1
lyfta..e.1	lypta..vb.1
lyme..e.1	lime..nn.1
lynd..e.1	lönd..nn.1
lægben..e.1	læggia_ben..nn.1
læghre_bot..e.1	lighris_bot..nn.1
længra..e.1	langt..ab.1
læta..e.1	lata..vb.1
læzn..e.1	leþsn..nn.1
læþer..e.1	læn..nn.1
löduger..e.1	löþogher..av.1
lönskalæghe..e.1	löskalæghi..nn.1
lösna..e.1	losna..vb.1
löthköp..e.1	liþköp..nn.1
mali_stang..e.1	mæli_stang..nn.1
mander..e.1	maþer..nn.1
manhælgh..e.1	manhælghþ..nn.1
mansbot..e.1	manbot..nn.1
manvæt..e.1	manna_vækt..nn.1
markaland..e.1	markland..nn.1
mark_laigi..e.1	laigi..nn.1
maskus_dagher..e.1	matskuts_fredagher..nn.1
mattul..e.1	mantul..nn.1
medher..e.1	miþer..av.1
mens_eþer..e.1	meneþer..nn.1
mikil..e.1	mykil..av.1
milli..e.1	mællum..pp.1
mirkia..e.1	mærkia..vb.1
miþal_garþer..e.1	mæþul_garþer..nn.1
midhlungu_man..e.1	mæþlungu_man..nn.1
miarþi..e.1	miærþi..nn.1
miælk..e.1	miolk..nn.1
miöhunder..e.1	mio_hunder..nn.1
moghandi..e.1	maghandi..av.1
mormæssa..e.1	mariu_mæssa..nn.1
moy..e.1	mö..nn.1
moþærni..e.1	möþerni..nn.1
mughæ..e.1	magha..vb.1
mulslaghu_maþer..e.1	muslaghu_maþer..nn.1
muza..e.1	musa..nn.1
mylder..e.1	milder..av.1
myndes..e.1	minnas..vb.1
mæræ..e.1	mere..av.1
mærþri..e.1	miærþi..nn.1
mætsordh..e.1	mætorþ..nn.1
möþrini..e.1	möþerni..nn.1
nadher..e.1	naþir..nn.1
nafn..e.1	namn..nn.1
nakarstaþ..e.1	nokorstaþ..ab.1
nas..e.1	næsar..nn.1
natorþer..e.1	natvarder..nn.1
nefi..e.1	nævi..nn.1
nikil..e.1	nykil..nn.1
niþiar_arf..e.1	niþar_arf..nn.1
noghra_lunda..e.1	nokra_lund..ab.1
norre..e.1	nyrri..av.1
næmia..e.1	næma..vb.1
næpsa..e.1	næfsa..vb.1
nögha..e.1	nöþga..vb.1
nörre..e.1	nyrri..av.1
nöta_hus..e.1	nöthus..nn.1
nötteliger..e.1	nytliker..av.1
obytter..e.1	o_bötter..av.1
odhensdagher..e.1	oþinsdagher..nn.1
oferi..e.1	oföri..nn.1
oformagi..e.1	ovormaghi..nn.1
ofra..e.1	offra..vb.1
oft..e.1	opta..ab.1
ogior..e.1	ogyr..av.1
oghormaghi..e.1	ovormaghi..nn.1
ogörþer..e.1	ogiorþer..av.1
ola..e.1	olia..vb.1
ulogh..e.1	olagh..nn.1
oloyfis..e.1	oluvis..ab.1
opa..e.1	öpa..vb.1
opplöghia..e.1	aplöghia..nn.1
opse..e.1	ofse..nn.1
opsokn..e.1	ofsokn..nn.1
orista..e.1	orosta..nn.1
orloff..e.1	örlögh..nn.1
ormynd..e.1	omynd..nn.1
ortogh..e.1	örtogh..nn.1
